,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population
year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,627000000000.0,630000000000.0,655000000000.0,681000000000.0,708000000000.0,735000000000.0,764000000000.0,800000000000.0,840000000000.0,873000000000.0,890000000000.0,926000000000.0,954000000000.0,995000000000.0,1030000000000.0,1050000000000.0,1090000000000.0,1130000000000.0,3.02,1.48,0.869,1.02,2.29,2.71,1.27,1.14,0.475,2.55,4.63,2.84,2.99,3.23,3.83,5.12,4.99,4.57,17300000.0,17500000.0,17600000.0,17800000.0,18000000.0,18200000.0,18400000.0,18600000.0,18800000.0,19000000.0,19200000.0,19500000.0,19700000.0,19900000.0,20200000.0,20500000.0,20800000.0,21200000.0
