,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population
year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,249000000000.0,254000000000.0,255000000000.0,262000000000.0,269000000000.0,275000000000.0,281000000000.0,291000000000.0,301000000000.0,311000000000.0,315000000000.0,320000000000.0,323000000000.0,332000000000.0,340000000000.0,351000000000.0,364000000000.0,370000000000.0,3.64,3.48,2.76,2.52,1.81,0.986,1.27,0.442,0.256,1.36,1.95,1.15,1.31,1.74,2.54,1.89,2.22,1.96,7760000.0,7840000.0,7910000.0,7940000.0,7950000.0,7960000.0,7970000.0,7980000.0,7990000.0,8010000.0,8039999.0,8080000.0,8119999.0,8170000.0,8230000.0,8270000.0,8289999.0,8320000.0
