,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,GDP_USD_Total,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,inflation_percent,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population,population
year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,291000000000.0,305000000000.0,329000000000.0,313000000000.0,338000000000.0,363000000000.0,391000000000.0,400000000000.0,387000000000.0,414000000000.0,390000000000.0,415000000000.0,439000000000.0,482000000000.0,525000000000.0,562000000000.0,590000000000.0,595000000000.0,59.2,65.2,68.4,105.0,86.0,77.2,81.5,144.0,54.3,49.4,53.0,37.6,23.3,12.4,7.09,9.38,6.2,12.0,55300000.0,56300000.0,57300000.0,58300000.0,59300000.0,60300000.0,61300000.0,62200000.0,63200000.0,64099999.0,65099999.0,66000000.0,66900000.0,67800000.0,68700000.0,69600000.0,70500000.0,71300000.0
